no,Tgl_Iklan,url,harga_juta,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,judul,deskripsi
33,20/03/2021,https://www.rumah123.com/properti/makassar/hos8056778/,1200,Makassar,105,200,3,3,0,0,0,0,2200,SHM,"siap huni, tanjung bunga, mewah, 2.5 lantai, terawat","Rumah Dijual Makassar rumah siap huni,semifurnish, yang lengket di rumah,2.5 lantai,jual cepat"
34,19/03/2021,https://www.rumah123.com/properti/makassar/hos8056154/,1300,Makassar,90,130,4,3,0,0,1,0,2200,SHM,Rumah Dua Lantai Type 130 Lokasi Tengah Kota Makassar,"Dipasarkan Rumah dua Lantai di Jalan Faisal Lokasi tengah kota Makassar. berada ditengah kota Makassar Jl Pettarani Pusat Bisnis dan perkantoran dekat dengan Rumah Sakit, Kampus dll. Type 130 empat kamar tidur"
35,19/03/2021,https://www.rumah123.com/properti/makassar/hos8054749/,1880,Makassar,140,80,3,2,0,0,1,0,2200,HGB,Rumah 2 Lantai Siap Huni Hanya 1 Unit Di Kawasan Citraland Celebes Makassar,"Rumah Siap Huni Hanya 1 Unit Di Kawasan Citraland Celebes Hertasning Makassar

New type Calista
(7x20)
LT 140 . LB 80
KT 3 . KM 2
Terletak di cluster terdepan di Citraland Celebes .
Unit Ready , Siap Huni .

Harga 1,88M an

Miliki segera unitnya .

Dapatkan promo potongan Harga , selama bulan Maret .

Unit terbatas .
Citraland Celebes terletak di kawasan Elite , Bebas banjir, Lingkungan yang hijau , dengan berbagai fasilitas yang lengkap dan berada di kawasan berkembang Sulsel .

Pastikan hunian yang tepat untuk keluarga Tercinta
"
36,19/03/2021,https://www.rumah123.com/properti/makassar/hos8054712/,3992,Makassar,250,204,4,4,1,1,1,0,3500,HGB,"Rumah Mewah 2 Lantai Di Kawasan Citraland Celebes Hertasning Makassar
","Type Vianca,Rumah Exclusive Di Citraland Celebes Hertasing Baru Makassar,Launching tipe cluster terdepan dan terbaru Citraland Celebes Hertasning,Hunian yg sangat cocok untuk anda, lingkungan Aman nyaman, Kolam renang Pribadi,Luas Bangunan Standar 204M2,Luas Tanah (1025) 250M2,4+1 Kamar Tidur,4+1 Kamar Mandi,3 Ruang Tamu, Mulai 3.992M-an,DP ringan 15%,Cash lunak 24x,ree biaya Bphtb Ajb Bbn dan Ppn,Privat Garden Tiap Unit,Unit di Cluster Terdepan,Swimming Pool Optional
"
37,19/03/2021,https://www.rumah123.com/properti/makassar/hos8054169/,400,Makassar,91,60,2,2,0,0,0,0,2200,SHM,Rumah Minimais,rumah Dijual Makassar Rumah 1 lantai
38,19/03/2021,https://www.rumah123.com/properti/makassar/hos8053827/,1800,Makassar,135,160,4,4,0,0,1,0,1300,SHM,Rumah Minimalis,Rumah Dijual Makassar Rumah 2 lantai
39,19/03/2021,https://www.rumah123.com/properti/makassar/hos8052270/,5074,Makassar,144,184,5,4,0,0,1,0,3500,HGB,Rumah Mewah Citraland Losari,"Rumah Dijual Makassar Rumah 2 lantai type Sapphire posisi hoek,Kamar Tidur ada 2 di Lantai 1 ( kamar tamu & kamar Art ),Kamar Tidur ada 3 di lantai 2,Kamar mandi 2 ada di lantai 1,Kamar mandi ada 2 di lantai 2"
40,19/03/2021,https://www.rumah123.com/properti/makassar/hos8052261/,6356,Makassar,210,151,5,4,0,0,1,0,2200,HGB,Rumah Mewah Citraland Losari di Hoek,"Rumah Dijual Makassar Rumah 2 lantai type Sapphire posisi hoek,Kamar Tidur ada 2 di Lantai 1 ( kamar tamu & kamar Art ),Kamar Tidur ada 3 di lantai 2,Kamar mandi 2 ada di lantai 1,Kamar mandi ada 2 di lantai 2"
41,19/03/2021,https://www.rumah123.com/properti/makassar/hos8051935/,3500,Makassar,217,217,5,4,0,0,1,1,2200,SHM,Rumah Mewah Tengah Kota Makassar,RUMAH SECOND CANTIK TENGAH KOTA MAKASSAR LOKASI STRATEGIS
42,19/03/2021,https://www.rumah123.com/properti/makassar/hos8051815/,700,Makassar,55,55,2,2,0,0,0,1,2200,none,Rumah Cantik Model Klasik dan Harga Menarik,Coming Soon Cluster The Topaz Summarecon Mutiara Makassar
43,19/03/2021,https://www.rumah123.com/properti/makassar/hos8051249/ ,335,Makassar,86,45,2,1,0,0,0,0,900,SHM,Rumah cantik minimalis villa discovery barombong kota makassar,Tingkatkan Kualitas Hidup Anda Bersama Hunian Berkualitas Villa Discovery Barombong
44,18/03/2021,https://www.rumah123.com/properti/makassar/hos8049677/,3400,Makassar,102,125,3,3,1,1,1,0,2200,HGB,Rumah Mewah Citraland Losari,Rumah Dijual Makassar Rumah 2 lantai
45,18/03/2021,https://www.rumah123.com/properti/makassar/hos8049600/,450,Makassar,96,42,2,1,0,0,1,0,1300,none,Rumah Allysum Tanjung Bunga,Rumah Dijual Makassar
46,18/03/2021,https://www.rumah123.com/properti/makassar/hos8049428/,12598,Makassar,420,294,5,5,0,0,1,0,5500,HGB,Rumah Mewah Citraland Losari di Hoek,Rumah Dijual Makassar Rumah 2 lantai posisi hoek
47,18/03/2021,https://www.rumah123.com/properti/makassar/hos8049335/,9369,Makassar,301,235,5,5,0,0,1,0,5500,HGB,Rumah Mewah Citraland Losari di Hoek,Rumah Dijual Makassar Rumah 2 lantai
48,18/03/2021,https://www.rumah123.com/properti/makassar/hos8049262/,5074,Makassar,144,184,5,4,0,0,1,0,3500,HGB,Rumah Mewah Citraland Losari,Rumah Dijual Makassar Rumah 2 lantai
